Timestep: 0-0, Program time: 5.0067901611328125e-06 s, Sim. time: 0 TU, Active/Total Cells: 1357/2197, Max key %: 1.1904539853890839e-14%
Timestep: 0-10, Program time: 4.333997964859009 s, Sim. time: 0.01377199706621468 TU, Active/Total Cells: 1211/2644, Max key %: 4.955888130431241e-14%
Timestep: 0-20, Program time: 8.726943969726562 s, Sim. time: 0.029074216028675437 TU, Active/Total Cells: 1074/3163, Max key %: 1.0644696929462683e-13%
Timestep: 0-30, Program time: 12.85859203338623 s, Sim. time: 0.046623566653579473 TU, Active/Total Cells: 961/1628, Max key %: 2.742001504324465e-13%
Timestep: 0-40, Program time: 15.89951491355896 s, Sim. time: 0.06637730414513499 TU, Active/Total Cells: 901/2241, Max key %: 5.623322987813317e-13%
Timestep: 0-50, Program time: 19.668588161468506 s, Sim. time: 0.08549804310314357 TU, Active/Total Cells: 849/2817, Max key %: 8.065596801554165e-13%
Timestep: 0-60, Program time: 22.317721843719482 s, Sim. time: 0.10455294593703002 TU, Active/Total Cells: 833/1661, Max key %: 1.112169167524768e-12%
Timestep: 0-70, Program time: 25.338731050491333 s, Sim. time: 0.12360056478064507 TU, Active/Total Cells: 815/2195, Max key %: 1.3515501651878425e-12%
Timestep: 0-80, Program time: 28.47107696533203 s, Sim. time: 0.14416155579965562 TU, Active/Total Cells: 823/1415, Max key %: 1.620475672051147e-12%
Timestep: 0-90, Program time: 31.099613904953003 s, Sim. time: 0.1669926050817594 TU, Active/Total Cells: 841/2018, Max key %: 1.7676344329226046e-12%
Timestep: 0-100, Program time: 34.79029107093811 s, Sim. time: 0.18982365436386317 TU, Active/Total Cells: 836/2583, Max key %: 1.7676452749443294e-12%
Timestep: 0-104, Program time: 36.501291036605835 s, Sim. time: 0.2 TU, Active/Total Cells: 812/1322, Max key %: 1.764685403013444e-12%
Timestep: 0-110, Program time: 37.99645495414734 s, Sim. time: 0.21880877697840334 TU, Active/Total Cells: 822/1737, Max key %: 1.764685403013444e-12%
Timestep: 0-120, Program time: 41.229336977005005 s, Sim. time: 0.25015673860907556 TU, Active/Total Cells: 793/2412, Max key %: 1.764685403013444e-12%
Timestep: 0-130, Program time: 44.59565281867981 s, Sim. time: 0.2842326912097633 TU, Active/Total Cells: 768/1362, Max key %: 1.6476566205153587e-12%
Timestep: 0-140, Program time: 47.27782607078552 s, Sim. time: 0.32240063026547433 TU, Active/Total Cells: 739/2025, Max key %: 2.1261258812549366e-12%
Timestep: 0-150, Program time: 50.794837951660156 s, Sim. time: 0.36056856932118536 TU, Active/Total Cells: 752/2637, Max key %: 2.691266263663006e-12%
Timestep: 0-158, Program time: 52.92186093330383 s, Sim. time: 0.4 TU, Active/Total Cells: 752/1646, Max key %: 3.581472141425679e-12%
Timestep: 0-160, Program time: 53.492587089538574 s, Sim. time: 0.410810811072588 TU, Active/Total Cells: 758/1774, Max key %: 3.5870232565488047e-12%
Timestep: 0-170, Program time: 56.771591901779175 s, Sim. time: 0.4648648664355278 TU, Active/Total Cells: 821/2479, Max key %: 4.663917906391757e-12%
Timestep: 0-180, Program time: 60.51650404930115 s, Sim. time: 0.5251249937340617 TU, Active/Total Cells: 979/1830, Max key %: 5.938636084626414e-12%
Timestep: 0-190, Program time: 64.3467378616333 s, Sim. time: 0.5810634005814791 TU, Active/Total Cells: 1243/2863, Max key %: 7.426725250406219e-12%
Timestep: 0-195, Program time: 66.83541798591614 s, Sim. time: 0.6000000000000001 TU, Active/Total Cells: 1366/3319, Max key %: 7.83581641412845e-12%
Timestep: 0-200, Program time: 69.60970401763916 s, Sim. time: 0.6190899826120586 TU, Active/Total Cells: 1504/3678, Max key %: 8.258535999158823e-12%
