Timestep: 0-0, Program time: 0 s, Sim. time: 0 TU, Active/Total Cells: 1357/2197, Max key %: 1.19045e-14%
Timestep: 0-10, Program time: 0.0152016 s, Sim. time: 0.013772 TU, Active/Total Cells: 1211/2644, Max key %: 4.95589e-14%
Timestep: 0-20, Program time: 0.0306919 s, Sim. time: 0.0290742 TU, Active/Total Cells: 1074/3163, Max key %: 1.06447e-13%
Timestep: 0-30, Program time: 0.0508678 s, Sim. time: 0.0466236 TU, Active/Total Cells: 961/1628, Max key %: 2.742e-13%
Timestep: 0-40, Program time: 0.0643554 s, Sim. time: 0.0663773 TU, Active/Total Cells: 901/2241, Max key %: 5.62332e-13%
Timestep: 0-50, Program time: 0.0802321 s, Sim. time: 0.085498 TU, Active/Total Cells: 849/2817, Max key %: 8.0656e-13%
Timestep: 0-60, Program time: 0.0955992 s, Sim. time: 0.104553 TU, Active/Total Cells: 833/1661, Max key %: 1.11217e-12%
Timestep: 0-70, Program time: 0.107803 s, Sim. time: 0.123601 TU, Active/Total Cells: 815/2195, Max key %: 1.35155e-12%
Timestep: 0-80, Program time: 0.122442 s, Sim. time: 0.144162 TU, Active/Total Cells: 823/1415, Max key %: 1.62048e-12%
Timestep: 0-90, Program time: 0.13205 s, Sim. time: 0.166993 TU, Active/Total Cells: 841/2022, Max key %: 1.76763e-12%
Timestep: 0-100, Program time: 0.144155 s, Sim. time: 0.189824 TU, Active/Total Cells: 836/2592, Max key %: 1.76765e-12%
Timestep: 0-104, Program time: 0.149662 s, Sim. time: 0.2 TU, Active/Total Cells: 812/1331, Max key %: 1.76469e-12%
Timestep: 0-110, Program time: 0.156674 s, Sim. time: 0.218809 TU, Active/Total Cells: 820/1748, Max key %: 1.76469e-12%
Timestep: 0-120, Program time: 0.167906 s, Sim. time: 0.250157 TU, Active/Total Cells: 791/2430, Max key %: 1.76469e-12%
Timestep: 0-130, Program time: 0.180839 s, Sim. time: 0.284233 TU, Active/Total Cells: 769/1375, Max key %: 1.64766e-12%
Timestep: 0-140, Program time: 0.190136 s, Sim. time: 0.322401 TU, Active/Total Cells: 740/2034, Max key %: 2.12613e-12%
Timestep: 0-150, Program time: 0.203008 s, Sim. time: 0.360569 TU, Active/Total Cells: 754/2639, Max key %: 2.69127e-12%
Timestep: 0-158, Program time: 0.214908 s, Sim. time: 0.4 TU, Active/Total Cells: 752/1644, Max key %: 3.58147e-12%
Timestep: 0-160, Program time: 0.219327 s, Sim. time: 0.410811 TU, Active/Total Cells: 758/1778, Max key %: 3.58702e-12%
