Timestep: 0-0, Program time: 0.00037217140197753906 s, Sim. time: 0.0 TU, Active/Total Cells: 1357/2197, Max key %: 1.1904539853890839e-14%
Timestep: 0-10, Program time: 0.011098146438598633 s, Sim. time: 0.013771996939556233 TU, Active/Total Cells: 1173/2711, Max key %: 5.001424621675632e-14%
Timestep: 0-20, Program time: 0.021955251693725586 s, Sim. time: 0.029074215761285393 TU, Active/Total Cells: 1061/3224, Max key %: 1.3190403630458647e-13%
Timestep: 0-30, Program time: 0.03831195831298828 s, Sim. time: 0.04662356624174348 TU, Active/Total Cells: 963/1686, Max key %: 2.7422725548675864e-13%
Timestep: 0-40, Program time: 0.04936504364013672 s, Sim. time: 0.0663773033664961 TU, Active/Total Cells: 894/2306, Max key %: 5.623539828247814e-13%
Timestep: 0-50, Program time: 0.06549215316772461 s, Sim. time: 0.08549804251954103 TU, Active/Total Cells: 857/1166, Max key %: 9.013731601392738e-13%
Timestep: 0-60, Program time: 0.07306194305419922 s, Sim. time: 0.10455294555149955 TU, Active/Total Cells: 831/1723, Max key %: 1.112803425795672e-12%
Timestep: 0-70, Program time: 0.08072209358215332 s, Sim. time: 0.12360056459911864 TU, Active/Total Cells: 835/2252, Max key %: 1.4790306566286882e-12%
Timestep: 0-80, Program time: 0.09011721611022949 s, Sim. time: 0.1441615561190143 TU, Active/Total Cells: 818/1468, Max key %: 1.6219176609405528e-12%
Timestep: 0-90, Program time: 0.09643197059631348 s, Sim. time: 0.1669926063473248 TU, Active/Total Cells: 834/2082, Max key %: 1.7676452749443294e-12%
Timestep: 0-100, Program time: 0.10594630241394043 s, Sim. time: 0.1898236565756353 TU, Active/Total Cells: 840/1147, Max key %: 1.764685403013444e-12%
Timestep: 0-104, Program time: 0.10750508308410645 s, Sim. time: 0.2 TU, Active/Total Cells: 812/1331, Max key %: 1.764685403013444e-12%
Timestep: 0-110, Program time: 0.11174726486206055 s, Sim. time: 0.21880877742946708 TU, Active/Total Cells: 806/1833, Max key %: 1.764685403013444e-12%
Timestep: 0-120, Program time: 0.11832928657531738 s, Sim. time: 0.2501567398119122 TU, Active/Total Cells: 795/2494, Max key %: 1.764685403013444e-12%
Timestep: 0-130, Program time: 0.12621498107910156 s, Sim. time: 0.28423269281389846 TU, Active/Total Cells: 747/1444, Max key %: 1.648903453013717e-12%
Timestep: 0-140, Program time: 0.13194012641906738 s, Sim. time: 0.32240063174519623 TU, Active/Total Cells: 746/2079, Max key %: 2.3007691671989017e-12%
Timestep: 0-150, Program time: 0.14231109619140625 s, Sim. time: 0.360568570676494 TU, Active/Total Cells: 754/1119, Max key %: 2.89476016941681e-12%
Timestep: 0-158, Program time: 0.1468510627746582 s, Sim. time: 0.4 TU, Active/Total Cells: 752/1644, Max key %: 3.581472141425679e-12%
Timestep: 0-160, Program time: 0.14966988563537598 s, Sim. time: 0.41081081081081083 TU, Active/Total Cells: 774/1844, Max key %: 3.834405666244822e-12%
