Timestep: 0-0, Program time: 0.000021 s, Sim. time: 0 TU, Active/Total Cells: 1357/2197, Max key %: 0.000000
Timestep: 0-10, Program time: 0.007801 s, Sim. time: 0.013772 TU, Active/Total Cells: 1211/2644, Max key %: 0.000000
Timestep: 0-20, Program time: 0.016850 s, Sim. time: 0.029074 TU, Active/Total Cells: 1074/3163, Max key %: 0.000000
Timestep: 0-30, Program time: 0.031037 s, Sim. time: 0.046624 TU, Active/Total Cells: 961/1628, Max key %: 0.000000
Timestep: 0-40, Program time: 0.040289 s, Sim. time: 0.066377 TU, Active/Total Cells: 901/2241, Max key %: 0.000000
Timestep: 0-50, Program time: 0.050622 s, Sim. time: 0.085498 TU, Active/Total Cells: 849/2817, Max key %: 0.000000
Timestep: 0-60, Program time: 0.062026 s, Sim. time: 0.104553 TU, Active/Total Cells: 833/1661, Max key %: 0.000000
Timestep: 0-70, Program time: 0.069507 s, Sim. time: 0.123601 TU, Active/Total Cells: 815/2195, Max key %: 0.000000
Timestep: 0-80, Program time: 0.078776 s, Sim. time: 0.144162 TU, Active/Total Cells: 823/1415, Max key %: 0.000000
Timestep: 0-90, Program time: 0.084873 s, Sim. time: 0.166993 TU, Active/Total Cells: 841/2022, Max key %: 0.000000
Timestep: 0-100, Program time: 0.092263 s, Sim. time: 0.189824 TU, Active/Total Cells: 836/2592, Max key %: 0.000000
Timestep: 0-104, Program time: 0.096514 s, Sim. time: 0.200000 TU, Active/Total Cells: 812/1331, Max key %: 0.000000
Timestep: 0-110, Program time: 0.100575 s, Sim. time: 0.218809 TU, Active/Total Cells: 820/1748, Max key %: 0.000000
Timestep: 0-120, Program time: 0.111692 s, Sim. time: 0.250157 TU, Active/Total Cells: 791/2430, Max key %: 0.000000
Timestep: 0-130, Program time: 0.123549 s, Sim. time: 0.284233 TU, Active/Total Cells: 769/1375, Max key %: 0.000000
Timestep: 0-140, Program time: 0.129611 s, Sim. time: 0.322401 TU, Active/Total Cells: 740/2034, Max key %: 0.000000
Timestep: 0-150, Program time: 0.137693 s, Sim. time: 0.360569 TU, Active/Total Cells: 754/2639, Max key %: 0.000000
Timestep: 0-158, Program time: 0.145671 s, Sim. time: 0.400000 TU, Active/Total Cells: 752/1644, Max key %: 0.000000
Timestep: 0-160, Program time: 0.147962 s, Sim. time: 0.410811 TU, Active/Total Cells: 758/1778, Max key %: 0.000000
Timestep: 0-170, Program time: 0.156928 s, Sim. time: 0.464865 TU, Active/Total Cells: 822/2486, Max key %: 0.000000
Timestep: 0-180, Program time: 0.172839 s, Sim. time: 0.525078 TU, Active/Total Cells: 979/1845, Max key %: 0.000000
Timestep: 0-190, Program time: 0.185937 s, Sim. time: 0.580969 TU, Active/Total Cells: 1250/2888, Max key %: 0.000000
Timestep: 0-195, Program time: 0.193724 s, Sim. time: 0.600000 TU, Active/Total Cells: 1367/3337, Max key %: 0.000000
Timestep: 0-200, Program time: 0.202205 s, Sim. time: 0.619090 TU, Active/Total Cells: 1506/3706, Max key %: 0.000000
Timestep: 0-210, Program time: 0.225244 s, Sim. time: 0.651987 TU, Active/Total Cells: 1759/3241, Max key %: 0.000000
Timestep: 0-220, Program time: 0.240625 s, Sim. time: 0.680092 TU, Active/Total Cells: 2020/4072, Max key %: 0.000000
Timestep: 0-230, Program time: 0.270874 s, Sim. time: 0.705243 TU, Active/Total Cells: 2278/3840, Max key %: 0.000000
Timestep: 0-240, Program time: 0.287004 s, Sim. time: 0.728218 TU, Active/Total Cells: 2573/4706, Max key %: 0.000000
Timestep: 0-250, Program time: 0.306573 s, Sim. time: 0.749548 TU, Active/Total Cells: 2860/5540, Max key %: 0.000000
Timestep: 0-260, Program time: 0.339017 s, Sim. time: 0.769676 TU, Active/Total Cells: 3151/5447, Max key %: 0.000000
