Timestep: 0-0, Program time: 0.000048 s, Sim. time: 0 TU, Active/Total Cells: 1357/2197, Max key %: 0.000000
Timestep: 0-20, Program time: 0.026697 s, Sim. time: 0.030604 TU, Active/Total Cells: 1061/3224, Max key %: 0.000000
Timestep: 0-40, Program time: 0.055141 s, Sim. time: 0.068304 TU, Active/Total Cells: 894/2306, Max key %: 0.000000
Timestep: 0-60, Program time: 0.078412 s, Sim. time: 0.106458 TU, Active/Total Cells: 831/1723, Max key %: 0.000000
Timestep: 0-80, Program time: 0.094608 s, Sim. time: 0.146445 TU, Active/Total Cells: 818/1468, Max key %: 0.000000
Timestep: 0-100, Program time: 0.109396 s, Sim. time: 0.192107 TU, Active/Total Cells: 840/1147, Max key %: 0.000000
Timestep: 0-103, Program time: 0.110706 s, Sim. time: 0.200000 TU, Active/Total Cells: 812/1331, Max key %: 0.000000
Timestep: 0-120, Program time: 0.121297 s, Sim. time: 0.253292 TU, Active/Total Cells: 795/2494, Max key %: 0.000000
Timestep: 0-140, Program time: 0.134418 s, Sim. time: 0.326217 TU, Active/Total Cells: 746/2079, Max key %: 0.000000
Timestep: 0-157, Program time: 0.149255 s, Sim. time: 0.400000 TU, Active/Total Cells: 752/1644, Max key %: 0.000000
Timestep: 0-160, Program time: 0.152253 s, Sim. time: 0.416216 TU, Active/Total Cells: 774/1844, Max key %: 0.000000
Timestep: 0-180, Program time: 0.176657 s, Sim. time: 0.531927 TU, Active/Total Cells: 1004/1963, Max key %: 0.000000
Timestep: 0-194, Program time: 0.195290 s, Sim. time: 0.600000 TU, Active/Total Cells: 1367/3337, Max key %: 0.000000
Timestep: 0-200, Program time: 0.212807 s, Sim. time: 0.622674 TU, Active/Total Cells: 1539/2503, Max key %: 0.000000
Timestep: 0-220, Program time: 0.241991 s, Sim. time: 0.682716 TU, Active/Total Cells: 2043/4146, Max key %: 0.000000
Timestep: 0-240, Program time: 0.284030 s, Sim. time: 0.730442 TU, Active/Total Cells: 2608/4788, Max key %: 0.000000
Timestep: 0-260, Program time: 0.331954 s, Sim. time: 0.771645 TU, Active/Total Cells: 3172/5535, Max key %: 0.000000
Timestep: 0-276, Program time: 0.380050 s, Sim. time: 0.800000 TU, Active/Total Cells: 3662/5905, Max key %: 0.000000
Timestep: 0-280, Program time: 0.390268 s, Sim. time: 0.807245 TU, Active/Total Cells: 3746/6189, Max key %: 0.000000
Timestep: 0-300, Program time: 0.454081 s, Sim. time: 0.841581 TU, Active/Total Cells: 4372/6930, Max key %: 0.000000
Timestep: 0-320, Program time: 0.506283 s, Sim. time: 0.873709 TU, Active/Total Cells: 4955/9028, Max key %: 0.000000
Timestep: 0-340, Program time: 0.582394 s, Sim. time: 0.904071 TU, Active/Total Cells: 5511/9717, Max key %: 0.000000
Timestep: 0-360, Program time: 0.667792 s, Sim. time: 0.933038 TU, Active/Total Cells: 6014/10370, Max key %: 0.000000
Timestep: 0-380, Program time: 0.760540 s, Sim. time: 0.960805 TU, Active/Total Cells: 6576/10925, Max key %: 0.000000
Timestep: 0-400, Program time: 0.859510 s, Sim. time: 0.987137 TU, Active/Total Cells: 7120/11285, Max key %: 0.000000
Timestep: 0-411, Program time: 0.900532 s, Sim. time: 1.000000 TU, Active/Total Cells: 7309/12741, Max key %: 0.000000
