Timestep: 0-0, Program time: 1.1920928955078125e-06 s, Sim. time: 0 TU, Active/Total Cells: 1357/2197, Max key %: 1.1904539853890839e-14%
Timestep: 0-20, Program time: 6.484302282333374 s, Sim. time: 0.029074216028675437 TU, Active/Total Cells: 1074/3163, Max key %: 1.0644696929462683e-13%
Timestep: 0-40, Program time: 13.047797203063965 s, Sim. time: 0.06637730414513499 TU, Active/Total Cells: 901/2241, Max key %: 5.623322987813317e-13%
Timestep: 0-60, Program time: 19.025606155395508 s, Sim. time: 0.10455294593703002 TU, Active/Total Cells: 833/1661, Max key %: 1.112169167524768e-12%
Timestep: 0-80, Program time: 24.10394310951233 s, Sim. time: 0.14416155579965562 TU, Active/Total Cells: 823/1415, Max key %: 1.620475672051147e-12%
Timestep: 0-100, Program time: 28.804070234298706 s, Sim. time: 0.18982365436386317 TU, Active/Total Cells: 836/2583, Max key %: 1.7676452749443294e-12%
Timestep: 0-104, Program time: 29.674954175949097 s, Sim. time: 0.2 TU, Active/Total Cells: 812/1322, Max key %: 1.764685403013444e-12%
Timestep: 0-120, Program time: 33.06512999534607 s, Sim. time: 0.25015673860907556 TU, Active/Total Cells: 793/2412, Max key %: 1.764685403013444e-12%
Timestep: 0-140, Program time: 37.42478609085083 s, Sim. time: 0.32240063026547433 TU, Active/Total Cells: 739/2025, Max key %: 2.1261258812549366e-12%
Timestep: 0-158, Program time: 41.82081317901611 s, Sim. time: 0.4 TU, Active/Total Cells: 752/1646, Max key %: 3.581472141425679e-12%
Timestep: 0-160, Program time: 42.27295422554016 s, Sim. time: 0.410810811072588 TU, Active/Total Cells: 758/1774, Max key %: 3.5870232565488047e-12%
Timestep: 0-180, Program time: 48.63625717163086 s, Sim. time: 0.5251249937340617 TU, Active/Total Cells: 979/1830, Max key %: 5.938636084626414e-12%
Timestep: 0-195, Program time: 54.47631907463074 s, Sim. time: 0.6000000000000001 TU, Active/Total Cells: 1366/3319, Max key %: 7.83581641412845e-12%
Timestep: 0-200, Program time: 57.09466314315796 s, Sim. time: 0.6190899826120586 TU, Active/Total Cells: 1504/3678, Max key %: 8.258535999158823e-12%
Timestep: 0-220, Program time: 67.44674110412598 s, Sim. time: 0.6803698480594904 TU, Active/Total Cells: 2018/4051, Max key %: 1.0098600558214321e-11%
Timestep: 0-240, Program time: 80.29594135284424 s, Sim. time: 0.7284259818494321 TU, Active/Total Cells: 2571/4692, Max key %: 1.111816259717624e-11%
Timestep: 0-260, Program time: 95.7138900756836 s, Sim. time: 0.7699257958680392 TU, Active/Total Cells: 3151/5435, Max key %: 1.2201844352618951e-11%
Timestep: 0-276, Program time: 110.58224630355835 s, Sim. time: 0.8 TU, Active/Total Cells: 3660/5788, Max key %: 1.3350502344258719e-11%
Timestep: 0-280, Program time: 114.02604508399963 s, Sim. time: 0.8072449236176908 TU, Active/Total Cells: 3749/6168, Max key %: 1.335157570440948e-11%
Timestep: 0-300, Program time: 134.63021230697632 s, Sim. time: 0.8416127598145977 TU, Active/Total Cells: 4371/8135, Max key %: 1.4571552514955344e-11%
Timestep: 0-320, Program time: 158.44319915771484 s, Sim. time: 0.8737931678304449 TU, Active/Total Cells: 4957/8964, Max key %: 1.5212359366981176e-11%
Timestep: 0-340, Program time: 185.4657962322235 s, Sim. time: 0.9041848208988086 TU, Active/Total Cells: 5517/9637, Max key %: 1.653941198408171e-11%
Timestep: 0-360, Program time: 215.93481302261353 s, Sim. time: 0.933118610479869 TU, Active/Total Cells: 6018/10263, Max key %: 1.7233821791515225e-11%
Timestep: 0-380, Program time: 249.43478727340698 s, Sim. time: 0.9608789064921439 TU, Active/Total Cells: 6581/10832, Max key %: 1.794734608324966e-11%
Timestep: 0-400, Program time: 285.4185140132904 s, Sim. time: 0.9872112834826112 TU, Active/Total Cells: 7107/13177, Max key %: 1.9428550565234182e-11%
Timestep: 0-411, Program time: 306.4170880317688 s, Sim. time: 1.0 TU, Active/Total Cells: 7299/12645, Max key %: 1.9429623925384942e-11%
