Timestep: 0-0, Program time: 3.886222839355469e-05 s, Sim. time: 0.0 TU, Active/Total Cells: 1357/2197, Max key %: 1.1904539853890839e-14%
Timestep: 0-20, Program time: 0.03998994827270508 s, Sim. time: 0.029074215761285393 TU, Active/Total Cells: 1061/3224, Max key %: 1.3190403630458647e-13%
Timestep: 0-40, Program time: 0.08387207984924316 s, Sim. time: 0.0663773033664961 TU, Active/Total Cells: 894/2306, Max key %: 5.623539828247814e-13%
Timestep: 0-60, Program time: 0.12493276596069336 s, Sim. time: 0.10455294555149955 TU, Active/Total Cells: 831/1723, Max key %: 1.112803425795672e-12%
Timestep: 0-80, Program time: 0.1584928035736084 s, Sim. time: 0.1441615561190143 TU, Active/Total Cells: 818/1468, Max key %: 1.6219176609405528e-12%
Timestep: 0-100, Program time: 0.19206976890563965 s, Sim. time: 0.1898236565756353 TU, Active/Total Cells: 840/1147, Max key %: 1.764685403013444e-12%
Timestep: 0-104, Program time: 0.19559288024902344 s, Sim. time: 0.2 TU, Active/Total Cells: 812/1331, Max key %: 1.764685403013444e-12%
Timestep: 0-120, Program time: 0.2223050594329834 s, Sim. time: 0.2501567398119122 TU, Active/Total Cells: 795/2494, Max key %: 1.764685403013444e-12%
Timestep: 0-140, Program time: 0.2543649673461914 s, Sim. time: 0.32240063174519623 TU, Active/Total Cells: 746/2079, Max key %: 2.3007691671989017e-12%
Timestep: 0-158, Program time: 0.2844259738922119 s, Sim. time: 0.4 TU, Active/Total Cells: 752/1644, Max key %: 3.581472141425679e-12%
Timestep: 0-160, Program time: 0.2897758483886719 s, Sim. time: 0.41081081081081083 TU, Active/Total Cells: 774/1844, Max key %: 3.834405666244822e-12%
Timestep: 0-180, Program time: 0.33850979804992676 s, Sim. time: 0.5250777547758061 TU, Active/Total Cells: 1004/1963, Max key %: 6.2882804432312644e-12%
Timestep: 0-195, Program time: 0.3779909610748291 s, Sim. time: 0.6000000000000001 TU, Active/Total Cells: 1367/3337, Max key %: 7.83581641412845e-12%
Timestep: 0-200, Program time: 0.4063758850097656 s, Sim. time: 0.6190899824005625 TU, Active/Total Cells: 1539/2503, Max key %: 8.693170966064812e-12%
Timestep: 0-220, Program time: 0.46826696395874023 s, Sim. time: 0.6800917137716609 TU, Active/Total Cells: 2043/4146, Max key %: 1.010056296414652e-11%
Timestep: 0-240, Program time: 0.5457239151000977 s, Sim. time: 0.7282176088329594 TU, Active/Total Cells: 2608/4788, Max key %: 1.1119225115305276e-11%
Timestep: 0-260, Program time: 0.6381938457489014 s, Sim. time: 0.7696762752223083 TU, Active/Total Cells: 3172/5535, Max key %: 1.2202993606921786e-11%
Timestep: 0-277, Program time: 0.7266948223114014 s, Sim. time: 0.8 TU, Active/Total Cells: 3662/5905, Max key %: 1.335157570440948e-11%
Timestep: 0-280, Program time: 0.7467339038848877 s, Sim. time: 0.805449591280654 TU, Active/Total Cells: 3746/6189, Max key %: 1.335157570440948e-11%
Timestep: 0-300, Program time: 0.8699679374694824 s, Sim. time: 0.8399225323034306 TU, Active/Total Cells: 4372/6930, Max key %: 1.4571552514955344e-11%
Timestep: 0-320, Program time: 0.9856109619140625 s, Sim. time: 0.8721462547537564 TU, Active/Total Cells: 4955/9028, Max key %: 1.5212359366981176e-11%
Timestep: 0-340, Program time: 1.1356518268585205 s, Sim. time: 0.9025852136849379 TU, Active/Total Cells: 5511/9717, Max key %: 1.653941198408171e-11%
Timestep: 0-360, Program time: 1.2981019020080566 s, Sim. time: 0.9316243332037656 TU, Active/Total Cells: 6014/10370, Max key %: 1.7233821791515225e-11%
Timestep: 0-380, Program time: 1.473463773727417 s, Sim. time: 0.9594515403505389 TU, Active/Total Cells: 6576/10925, Max key %: 1.794734608324966e-11%
Timestep: 0-400, Program time: 1.6643667221069336 s, Sim. time: 0.9858534002180961 TU, Active/Total Cells: 7120/11285, Max key %: 1.9428550565234182e-11%
Timestep: 0-412, Program time: 1.7567718029022217 s, Sim. time: 1.0 TU, Active/Total Cells: 7309/12741, Max key %: 1.9429623925384942e-11%
