Timestep: 0-0, Program time: 4.601478576660156e-05 s, Sim. time: 0.0 TU, Active/Total Cells: 1189/2197, Max key %: 1.1904539853890839e-14%
Timestep: 0-20, Program time: 0.0546422004699707 s, Sim. time: 0.029074215761285393 TU, Active/Total Cells: 964/3200, Max key %: 1.3129146207713216e-13%
Timestep: 0-40, Program time: 0.11491608619689941 s, Sim. time: 0.06601304227478344 TU, Active/Total Cells: 804/2195, Max key %: 5.623431408030566e-13%
Timestep: 0-60, Program time: 0.17009186744689941 s, Sim. time: 0.10362824005300704 TU, Active/Total Cells: 756/1628, Max key %: 1.2252514541150061e-12%
Timestep: 0-80, Program time: 0.2154381275177002 s, Sim. time: 0.1431211914536291 TU, Active/Total Cells: 759/1378, Max key %: 1.620475672051147e-12%
Timestep: 0-100, Program time: 0.25989794731140137 s, Sim. time: 0.1887832919102501 TU, Active/Total Cells: 761/1041, Max key %: 1.764685403013444e-12%
Timestep: 0-104, Program time: 0.26441407203674316 s, Sim. time: 0.2 TU, Active/Total Cells: 722/1235, Max key %: 1.7646962450351689e-12%
Timestep: 0-120, Program time: 0.3004441261291504 s, Sim. time: 0.2501567398119122 TU, Active/Total Cells: 713/2347, Max key %: 1.7646962450351689e-12%
Timestep: 0-140, Program time: 0.3425331115722656 s, Sim. time: 0.32430148562082606 TU, Active/Total Cells: 660/1942, Max key %: 2.12736187173157e-12%
Timestep: 0-157, Program time: 0.38164591789245605 s, Sim. time: 0.4 TU, Active/Total Cells: 657/1440, Max key %: 3.346449636495996e-12%
Timestep: 0-160, Program time: 0.3916158676147461 s, Sim. time: 0.4169491525423729 TU, Active/Total Cells: 688/1733, Max key %: 3.8365632285680684e-12%
Timestep: 0-180, Program time: 0.45885515213012695 s, Sim. time: 0.5349717385712918 TU, Active/Total Cells: 903/1854, Max key %: 6.289353803382025e-12%
Timestep: 0-193, Program time: 0.5019769668579102 s, Sim. time: 0.6000000000000001 TU, Active/Total Cells: 1212/2960, Max key %: 7.834743053977689e-12%
Timestep: 0-200, Program time: 0.549767017364502 s, Sim. time: 0.6262167574859914 TU, Active/Total Cells: 1399/2331, Max key %: 8.693170966064812e-12%
Timestep: 0-220, Program time: 0.6342592239379883 s, Sim. time: 0.6855086995922763 TU, Active/Total Cells: 1908/4044, Max key %: 1.010056296414652e-11%
Timestep: 0-240, Program time: 0.7474780082702637 s, Sim. time: 0.732818568956866 TU, Active/Total Cells: 2426/4801, Max key %: 1.1119225115305276e-11%
Timestep: 0-260, Program time: 0.8837401866912842 s, Sim. time: 0.7739867250542315 TU, Active/Total Cells: 3009/5620, Max key %: 1.220300444894351e-11%
Timestep: 0-274, Program time: 0.9765641689300537 s, Sim. time: 0.8 TU, Active/Total Cells: 3387/6992, Max key %: 1.3350502344258719e-11%
Timestep: 0-280, Program time: 1.0536549091339111 s, Sim. time: 0.810828914359111 TU, Active/Total Cells: 3558/6396, Max key %: 1.3352638222538515e-11%
Timestep: 0-300, Program time: 1.2405509948730469 s, Sim. time: 0.8451849687818141 TU, Active/Total Cells: 4222/6951, Max key %: 1.4572625875106104e-11%
Timestep: 0-320, Program time: 1.4237921237945557 s, Sim. time: 0.8772417991869286 TU, Active/Total Cells: 4805/9666, Max key %: 1.58649406546002e-11%
Timestep: 0-340, Program time: 1.6763670444488525 s, Sim. time: 0.9063377946254144 TU, Active/Total Cells: 5313/10363, Max key %: 1.653941198408171e-11%
Timestep: 0-360, Program time: 1.9318702220916748 s, Sim. time: 0.9334597988384469 TU, Active/Total Cells: 5804/10977, Max key %: 1.7233821791515225e-11%
Timestep: 0-380, Program time: 2.21028208732605 s, Sim. time: 0.9591918321028754 TU, Active/Total Cells: 6284/11377, Max key %: 1.7946283565120624e-11%
Timestep: 0-400, Program time: 2.5086090564727783 s, Sim. time: 0.9834559462442592 TU, Active/Total Cells: 6833/11171, Max key %: 1.8678130873570065e-11%
Timestep: 0-415, Program time: 2.695888042449951 s, Sim. time: 1.0 TU, Active/Total Cells: 6942/13686, Max key %: 1.9428550565234182e-11%
