Timestep: 0-0, Program time: 0.000239 s, Sim. time: 0 TU, Active/Total Cells: 22961/28561, Max key %: 0.000000
Timestep: 0-17, Program time: 4.384389 s, Sim. time: 0.064866 TU, Active/Total Cells: 22910/45044, Max key %: 1.254080e-11
Timestep: 0-20, Program time: 5.940398 s, Sim. time: 0.076577 TU, Active/Total Cells: 22847/31312, Max key %: 1.853291e-11
Timestep: 0-34, Program time: 8.466656 s, Sim. time: 0.129731 TU, Active/Total Cells: 22931/40838, Max key %: 7.505781e-11
Timestep: 0-40, Program time: 9.256010 s, Sim. time: 0.152260 TU, Active/Total Cells: 23337/33996, Max key %: 1.092388e-10
Timestep: 0-52, Program time: 10.630831 s, Sim. time: 0.194597 TU, Active/Total Cells: 24608/41138, Max key %: 2.572712e-10
Timestep: 0-60, Program time: 11.580646 s, Sim. time: 0.222451 TU, Active/Total Cells: 25974/39580, Max key %: 3.717446e-10
Timestep: 0-72, Program time: 12.968331 s, Sim. time: 0.259462 TU, Active/Total Cells: 28390/48946, Max key %: 6.589261e-10
Timestep: 0-80, Program time: 13.825904 s, Sim. time: 0.284958 TU, Active/Total Cells: 30824/48207, Max key %: 8.838803e-10
Timestep: 0-93, Program time: 15.037249 s, Sim. time: 0.324328 TU, Active/Total Cells: 35056/62094, Max key %: 1.323488e-09
Timestep: 0-100, Program time: 15.839598 s, Sim. time: 0.344727 TU, Active/Total Cells: 37949/59833, Max key %: 1.596486e-09
Timestep: 0-117, Program time: 17.301510 s, Sim. time: 0.389193 TU, Active/Total Cells: 45065/88411, Max key %: 2.396020e-09
Timestep: 0-120, Program time: 17.861412 s, Sim. time: 0.397159 TU, Active/Total Cells: 46589/73550, Max key %: 2.396019e-09
Timestep: 0-140, Program time: 20.103839 s, Sim. time: 0.447691 TU, Active/Total Cells: 57137/90295, Max key %: 3.462675e-09
Timestep: 0-143, Program time: 20.347447 s, Sim. time: 0.454059 TU, Active/Total Cells: 58391/100373, Max key %: 3.639433e-09
Timestep: 0-160, Program time: 23.005649 s, Sim. time: 0.493294 TU, Active/Total Cells: 68807/108416, Max key %: 4.629956e-09
Timestep: 0-172, Program time: 24.805699 s, Sim. time: 0.518924 TU, Active/Total Cells: 76027/125550, Max key %: 5.078838e-09
Timestep: 0-180, Program time: 26.373846 s, Sim. time: 0.535555 TU, Active/Total Cells: 81661/128286, Max key %: 5.557572e-09
Timestep: 0-200, Program time: 30.342262 s, Sim. time: 0.574810 TU, Active/Total Cells: 95252/149223, Max key %: 6.618212e-09
Timestep: 0-205, Program time: 31.068797 s, Sim. time: 0.583790 TU, Active/Total Cells: 98566/168129, Max key %: 6.903856e-09
Timestep: 0-220, Program time: 35.093033 s, Sim. time: 0.610611 TU, Active/Total Cells: 109515/170997, Max key %: 7.507693e-09
Timestep: 0-240, Program time: 40.527653 s, Sim. time: 0.643851 TU, Active/Total Cells: 124698/193722, Max key %: 8.149043e-09
Timestep: 0-244, Program time: 41.303680 s, Sim. time: 0.648655 TU, Active/Total Cells: 126462/209334, Max key %: 8.482833e-09
Timestep: 0-260, Program time: 46.826577 s, Sim. time: 0.673021 TU, Active/Total Cells: 139169/215732, Max key %: 8.829384e-09
Timestep: 0-280, Program time: 54.167339 s, Sim. time: 0.701312 TU, Active/Total Cells: 154746/238801, Max key %: 9.551549e-09
Timestep: 0-290, Program time: 58.099088 s, Sim. time: 0.713521 TU, Active/Total Cells: 162154/253166, Max key %: 9.928836e-09
Timestep: 0-300, Program time: 62.383289 s, Sim. time: 0.726346 TU, Active/Total Cells: 169998/261562, Max key %: 9.928832e-09
Timestep: 0-320, Program time: 71.406629 s, Sim. time: 0.750470 TU, Active/Total Cells: 186099/285532, Max key %: 1.051036e-08
Timestep: 0-340, Program time: 81.448704 s, Sim. time: 0.772771 TU, Active/Total Cells: 202085/309340, Max key %: 1.409952e-08
Timestep: 0-346, Program time: 83.532378 s, Sim. time: 0.778386 TU, Active/Total Cells: 205744/332777, Max key %: 1.512439e-08
Timestep: 0-360, Program time: 92.742094 s, Sim. time: 0.792678 TU, Active/Total Cells: 217459/332178, Max key %: 1.793198e-08
Timestep: 0-380, Program time: 104.817301 s, Sim. time: 0.811687 TU, Active/Total Cells: 233346/355836, Max key %: 2.321564e-08
Timestep: 0-400, Program time: 119.008088 s, Sim. time: 0.828886 TU, Active/Total Cells: 248829/379061, Max key %: 2.872738e-08
Timestep: 0-420, Program time: 134.918326 s, Sim. time: 0.843997 TU, Active/Total Cells: 262987/400226, Max key %: 3.516448e-08
Timestep: 0-440, Program time: 152.119878 s, Sim. time: 0.858180 TU, Active/Total Cells: 277265/421740, Max key %: 4.262782e-08
Timestep: 0-460, Program time: 170.836504 s, Sim. time: 0.871170 TU, Active/Total Cells: 290723/442080, Max key %: 4.991848e-08
Timestep: 0-480, Program time: 191.295289 s, Sim. time: 0.883079 TU, Active/Total Cells: 303888/461748, Max key %: 5.667820e-08
Timestep: 0-500, Program time: 212.681313 s, Sim. time: 0.894097 TU, Active/Total Cells: 316705/480832, Max key %: 6.409552e-08
Timestep: 0-520, Program time: 235.682531 s, Sim. time: 0.904469 TU, Active/Total Cells: 328915/499094, Max key %: 7.222636e-08
Timestep: 0-528, Program time: 241.240046 s, Sim. time: 0.908117 TU, Active/Total Cells: 332830/524525, Max key %: 7.568327e-08
Timestep: 0-540, Program time: 260.024826 s, Sim. time: 0.913817 TU, Active/Total Cells: 340304/515900, Max key %: 7.926293e-08
Timestep: 0-560, Program time: 285.435239 s, Sim. time: 0.922830 TU, Active/Total Cells: 351531/532794, Max key %: 8.877220e-08
Timestep: 0-580, Program time: 312.214377 s, Sim. time: 0.931217 TU, Active/Total Cells: 362249/548487, Max key %: 9.910422e-08
Timestep: 0-600, Program time: 340.177614 s, Sim. time: 0.939113 TU, Active/Total Cells: 372756/564269, Max key %: 1.057289e-07
Timestep: 0-620, Program time: 368.714221 s, Sim. time: 0.946612 TU, Active/Total Cells: 382880/579246, Max key %: 1.150611e-07
Timestep: 0-640, Program time: 398.020165 s, Sim. time: 0.953619 TU, Active/Total Cells: 392452/593370, Max key %: 1.249936e-07
Timestep: 0-660, Program time: 428.758559 s, Sim. time: 0.960274 TU, Active/Total Cells: 401888/607413, Max key %: 1.328629e-07
Timestep: 0-680, Program time: 459.524325 s, Sim. time: 0.966617 TU, Active/Total Cells: 410969/620971, Max key %: 1.410879e-07
Timestep: 0-700, Program time: 491.595083 s, Sim. time: 0.972630 TU, Active/Total Cells: 419698/633916, Max key %: 1.496949e-07
Timestep: 0-702, Program time: 493.824603 s, Sim. time: 0.972983 TU, Active/Total Cells: 420674/640903, Max key %: 1.526460e-07
Timestep: 0-720, Program time: 524.773900 s, Sim. time: 0.978149 TU, Active/Total Cells: 427916/646120, Max key %: 1.586848e-07
Timestep: 0-740, Program time: 558.525602 s, Sim. time: 0.983631 TU, Active/Total Cells: 436300/658708, Max key %: 1.680685e-07
Timestep: 0-760, Program time: 592.158336 s, Sim. time: 0.988905 TU, Active/Total Cells: 444111/670424, Max key %: 1.778748e-07
Timestep: 0-780, Program time: 627.456298 s, Sim. time: 0.993975 TU, Active/Total Cells: 452022/682108, Max key %: 1.812272e-07
Timestep: 0-800, Program time: 663.671702 s, Sim. time: 0.998883 TU, Active/Total Cells: 459945/694117, Max key %: 1.915883e-07
Timestep: 0-820, Program time: 700.630578 s, Sim. time: 1.003580 TU, Active/Total Cells: 467320/705323, Max key %: 1.987449e-07
Timestep: 0-840, Program time: 738.177407 s, Sim. time: 1.008156 TU, Active/Total Cells: 474866/716584, Max key %: 2.060877e-07
Timestep: 0-860, Program time: 776.941697 s, Sim. time: 1.012544 TU, Active/Total Cells: 481827/726852, Max key %: 2.174853e-07
Timestep: 0-880, Program time: 817.124749 s, Sim. time: 1.016784 TU, Active/Total Cells: 488865/737396, Max key %: 2.253469e-07
Timestep: 0-900, Program time: 856.409375 s, Sim. time: 1.020936 TU, Active/Total Cells: 495843/748156, Max key %: 2.293434e-07
Timestep: 0-920, Program time: 895.566398 s, Sim. time: 1.024966 TU, Active/Total Cells: 502797/758763, Max key %: 2.375167e-07
Timestep: 0-940, Program time: 936.351207 s, Sim. time: 1.028867 TU, Active/Total Cells: 509210/768544, Max key %: 2.458862e-07
Timestep: 0-960, Program time: 977.572800 s, Sim. time: 1.032671 TU, Active/Total Cells: 515855/778193, Max key %: 2.501812e-07
Timestep: 0-980, Program time: 1018.818031 s, Sim. time: 1.036406 TU, Active/Total Cells: 522347/788157, Max key %: 2.545110e-07
Timestep: 0-988, Program time: 1028.143114 s, Sim. time: 1.037849 TU, Active/Total Cells: 524475/815626, Max key %: 2.589041e-07
