Timestep: 0-0, Program time: 3.62396240234375e-05 s, Sim. time: 0.0 TU, Active/Total Cells: 1189/2197, Max key %: 1.1904539853890839e-14%
Timestep: 0-20, Program time: 0.04687213897705078 s, Sim. time: 0.029074215761285393 TU, Active/Total Cells: 964/1268, Max key %: 1.3129146207713216e-13%
Timestep: 0-40, Program time: 0.08925795555114746 s, Sim. time: 0.0683465290438492 TU, Active/Total Cells: 809/1088, Max key %: 5.623648248465063e-13%
Timestep: 0-60, Program time: 0.12502503395080566 s, Sim. time: 0.10555772208725374 TU, Active/Total Cells: 764/1058, Max key %: 1.2265958648088882e-12%
Timestep: 0-80, Program time: 0.15499210357666016 s, Sim. time: 0.14492879773212322 TU, Active/Total Cells: 772/1071, Max key %: 1.6219176609405528e-12%
Timestep: 0-100, Program time: 0.18412208557128906 s, Sim. time: 0.1938747012338202 TU, Active/Total Cells: 752/1036, Max key %: 1.7632108880588637e-12%
Timestep: 0-103, Program time: 0.18632292747497559 s, Sim. time: 0.2 TU, Active/Total Cells: 727/1150, Max key %: 1.7632108880588637e-12%
Timestep: 0-120, Program time: 0.21431207656860352 s, Sim. time: 0.25431309904153354 TU, Active/Total Cells: 714/998, Max key %: 1.6018273946843964e-12%
Timestep: 0-140, Program time: 0.24332213401794434 s, Sim. time: 0.32934163561364194 TU, Active/Total Cells: 670/983, Max key %: 2.3030459917611212e-12%
Timestep: 0-155, Program time: 0.26221585273742676 s, Sim. time: 0.4 TU, Active/Total Cells: 667/1924, Max key %: 3.346449636495996e-12%
Timestep: 0-160, Program time: 0.2769432067871094 s, Sim. time: 0.42463054187192123 TU, Active/Total Cells: 703/1090, Max key %: 3.838915947282362e-12%
Timestep: 0-180, Program time: 0.32629895210266113 s, Sim. time: 0.5548183761794878 TU, Active/Total Cells: 987/1636, Max key %: 6.654827513705164e-12%
Timestep: 0-190, Program time: 0.3474130630493164 s, Sim. time: 0.6000000000000001 TU, Active/Total Cells: 1202/2439, Max key %: 7.834743053977689e-12%
Timestep: 0-200, Program time: 0.38657402992248535 s, Sim. time: 0.6364421418589782 TU, Active/Total Cells: 1465/2439, Max key %: 8.696217574169496e-12%
Timestep: 0-220, Program time: 0.4562571048736572 s, Sim. time: 0.6932654014855314 TU, Active/Total Cells: 1978/3277, Max key %: 1.010163632429728e-11%
Timestep: 0-240, Program time: 0.5389859676361084 s, Sim. time: 0.739425104012158 TU, Active/Total Cells: 2497/4144, Max key %: 1.165000713086728e-11%
Timestep: 0-260, Program time: 0.6418659687042236 s, Sim. time: 0.7799201352714995 TU, Active/Total Cells: 3092/5129, Max key %: 1.2766453475962503e-11%
Timestep: 0-271, Program time: 0.6938149929046631 s, Sim. time: 0.8 TU, Active/Total Cells: 3339/6317, Max key %: 1.3350502344258719e-11%
Timestep: 0-280, Program time: 0.7705941200256348 s, Sim. time: 0.8161970497630492 TU, Active/Total Cells: 3681/6066, Max key %: 1.39521152877492e-11%
Timestep: 0-300, Program time: 0.9073390960693359 s, Sim. time: 0.850257824722228 TU, Active/Total Cells: 4267/7040, Max key %: 1.4572625875106104e-11%
Timestep: 0-320, Program time: 1.0868430137634277 s, Sim. time: 0.8817146679642043 TU, Active/Total Cells: 4879/8022, Max key %: 1.58649406546002e-11%
Timestep: 0-340, Program time: 1.255021095275879 s, Sim. time: 0.9108138738288052 TU, Active/Total Cells: 5432/8925, Max key %: 1.654048534423247e-11%
Timestep: 0-360, Program time: 1.4468779563903809 s, Sim. time: 0.9380380786346786 TU, Active/Total Cells: 5922/9727, Max key %: 1.7233821791515225e-11%
Timestep: 0-380, Program time: 1.6672041416168213 s, Sim. time: 0.9637234110952384 TU, Active/Total Cells: 6373/10431, Max key %: 1.7946283565120624e-11%
Timestep: 0-400, Program time: 1.8946361541748047 s, Sim. time: 0.9879807188264305 TU, Active/Total Cells: 6793/11094, Max key %: 1.86791933916991e-11%
Timestep: 0-411, Program time: 1.9949970245361328 s, Sim. time: 1.0 TU, Active/Total Cells: 6822/13054, Max key %: 1.9428550565234182e-11%
