Timestep: 0-0, Program time: 0.0003972053527832031 s, Sim. time: 0.0 TU, Active/Total Cells: 22961/28561, Max key %: 1.5482407023093003e-13%
Timestep: 0-18, Program time: 4.551235198974609 s, Sim. time: 0.06486553272125 TU, Active/Total Cells: 23613/66551, Max key %: 1.254080931982482e-11%
Timestep: 0-20, Program time: 7.490864276885986 s, Sim. time: 0.07267820440196408 TU, Active/Total Cells: 23560/32269, Max key %: 1.853291825559822e-11%
Timestep: 0-35, Program time: 10.557273149490356 s, Sim. time: 0.1297310654425 TU, Active/Total Cells: 23754/62271, Max key %: 7.505780936015172e-11%
Timestep: 0-40, Program time: 12.929857015609741 s, Sim. time: 0.14826875564846204 TU, Active/Total Cells: 24326/35580, Max key %: 1.2272535418467179e-10%
Timestep: 0-53, Program time: 14.607964992523193 s, Sim. time: 0.19459659816374997 TU, Active/Total Cells: 25632/64802, Max key %: 2.572711900288016e-10%
Timestep: 0-60, Program time: 16.61611318588257 s, Sim. time: 0.21895552698307205 TU, Active/Total Cells: 27283/42317, Max key %: 4.0496220200976485e-10%
Timestep: 0-73, Program time: 18.37691330909729 s, Sim. time: 0.259462130885 TU, Active/Total Cells: 29619/74328, Max key %: 7.098449486628994e-10%
Timestep: 0-80, Program time: 20.26763391494751 s, Sim. time: 0.28180709392186165 TU, Active/Total Cells: 32256/51092, Max key %: 8.838803224487518e-10%
Timestep: 0-94, Program time: 21.97348713874817 s, Sim. time: 0.32432766360625 TU, Active/Total Cells: 36662/89282, Max key %: 1.4102455694105925e-09%
Timestep: 0-100, Program time: 23.540231227874756 s, Sim. time: 0.3418182693297117 TU, Active/Total Cells: 39512/62658, Max key %: 1.696236808781601e-09%
Timestep: 0-118, Program time: 25.740512132644653 s, Sim. time: 0.3891931963275 TU, Active/Total Cells: 47055/117619, Max key %: 2.5309843630638706e-09%
Timestep: 0-120, Program time: 26.64710807800293 s, Sim. time: 0.394522274030321 TU, Active/Total Cells: 48642/77117, Max key %: 2.6715714709912852e-09%
Timestep: 0-140, Program time: 30.041094303131104 s, Sim. time: 0.44516993070426325 TU, Active/Total Cells: 59808/94901, Max key %: 3.6402695365467946e-09%
Timestep: 0-144, Program time: 30.45137310028076 s, Sim. time: 0.45405872904875 TU, Active/Total Cells: 61026/105719, Max key %: 3.824604614130825e-09%
Timestep: 0-160, Program time: 33.95848226547241 s, Sim. time: 0.4909031606997156 TU, Active/Total Cells: 72145/114352, Max key %: 4.851480821894613e-09%
Timestep: 0-173, Program time: 36.11164903640747 s, Sim. time: 0.51892426177 TU, Active/Total Cells: 80043/160198, Max key %: 5.558610754845261e-09%
Timestep: 0-180, Program time: 38.619375228881836 s, Sim. time: 0.5334412052245473 TU, Active/Total Cells: 85812/135706, Max key %: 6.0716059838237385e-09%
Timestep: 0-200, Program time: 43.90510892868042 s, Sim. time: 0.5726148810405784 TU, Active/Total Cells: 100121/158123, Max key %: 7.203398798673669e-09%
Timestep: 0-207, Program time: 45.3539981842041 s, Sim. time: 0.5837897944912499 TU, Active/Total Cells: 103554/182492, Max key %: 7.508923631537393e-09%
Timestep: 0-220, Program time: 50.177911043167114 s, Sim. time: 0.6069154735314944 TU, Active/Total Cells: 114939/180772, Max key %: 8.150320473859426e-09%
Timestep: 0-240, Program time: 57.28267216682434 s, Sim. time: 0.6401168952900648 TU, Active/Total Cells: 130620/204576, Max key %: 9.185183500294916e-09%
Timestep: 0-246, Program time: 58.85433506965637 s, Sim. time: 0.6486553272124999 TU, Active/Total Cells: 133345/225760, Max key %: 9.18651289478871e-09%
Timestep: 0-260, Program time: 65.49291706085205 s, Sim. time: 0.6697940120523839 TU, Active/Total Cells: 146632/228770, Max key %: 9.554282901945085e-09%
Timestep: 0-280, Program time: 74.76594710350037 s, Sim. time: 0.6979683666892019 TU, Active/Total Cells: 163200/253735, Max key %: 1.032006981499349e-08%
Timestep: 0-292, Program time: 79.39295411109924 s, Sim. time: 0.7135208599337498 TU, Active/Total Cells: 171466/299778, Max key %: 1.071981933016726e-08%
Timestep: 0-300, Program time: 85.30186319351196 s, Sim. time: 0.7236587308338532 TU, Active/Total Cells: 179823/278591, Max key %: 1.0719778401535249e-08%
Timestep: 0-320, Program time: 96.66384720802307 s, Sim. time: 0.7476003550711617 TU, Active/Total Cells: 196739/303688, Max key %: 1.1131020958470364e-08%
Timestep: 0-340, Program time: 109.1471860408783 s, Sim. time: 0.769664541147568 TU, Active/Total Cells: 213592/328795, Max key %: 1.4607732325188152e-08%
Timestep: 0-349, Program time: 113.53995394706726 s, Sim. time: 0.7783863926549998 TU, Active/Total Cells: 217909/361931, Max key %: 1.620771503661224e-08%
Timestep: 0-360, Program time: 123.15673232078552 s, Sim. time: 0.78940347241668 TU, Active/Total Cells: 229459/352385, Max key %: 1.915952193448124e-08%
Timestep: 0-380, Program time: 138.27356219291687 s, Sim. time: 0.8082110375187092 TU, Active/Total Cells: 245734/376586, Max key %: 2.3952901299787235e-08%
Timestep: 0-400, Program time: 154.90222811698914 s, Sim. time: 0.8252842024581777 TU, Active/Total Cells: 261262/400039, Max key %: 3.046802381245252e-08%
Timestep: 0-420, Program time: 172.9731409549713 s, Sim. time: 0.8407210748577203 TU, Active/Total Cells: 276041/422362, Max key %: 3.6166993006144996e-08%
Timestep: 0-424, Program time: 175.4170560836792 s, Sim. time: 0.8432519253762497 TU, Active/Total Cells: 276886/435056, Max key %: 3.7190770585783864e-08%
Timestep: 0-440, Program time: 192.4691698551178 s, Sim. time: 0.8544324251772375 TU, Active/Total Cells: 289828/443128, Max key %: 4.3785445446231294e-08%
Timestep: 0-460, Program time: 212.25901103019714 s, Sim. time: 0.8673906495124861 TU, Active/Total Cells: 303754/463885, Max key %: 5.12211434020287e-08%
Timestep: 0-480, Program time: 233.07444500923157 s, Sim. time: 0.8793339370964713 TU, Active/Total Cells: 316790/483350, Max key %: 5.811058921925162e-08%
Timestep: 0-500, Program time: 254.93053793907166 s, Sim. time: 0.890385752166056 TU, Active/Total Cells: 329439/502290, Max key %: 6.726496440466294e-08%
Timestep: 0-520, Program time: 277.6424000263214 s, Sim. time: 0.9006738503077327 TU, Active/Total Cells: 341552/520444, Max key %: 7.223011209869616e-08%
Timestep: 0-536, Program time: 291.9645161628723 s, Sim. time: 0.9081174580974997 TU, Active/Total Cells: 349302/567684, Max key %: 8.110762297788669e-08%
Timestep: 0-540, Program time: 301.8486490249634 s, Sim. time: 0.9099863760933957 TU, Active/Total Cells: 352867/537225, Max key %: 8.297222602450353e-08%
Timestep: 0-560, Program time: 326.4222819805145 s, Sim. time: 0.9189306631256862 TU, Active/Total Cells: 364202/554164, Max key %: 9.077570521979182e-08%
